timestamp,ip_src,ip_dst,ip_proto,sport,dport,tcp_flags
1718883240,6,35,6,58347,443,1
1718892684,6,26,6,49212,443,4
1718897412,6,33,6,58366,443,1
1718887404,6,5,6,58352,7680,6
1718887176,6,5,6,58352,7680,6
1718882946,6,36,6,58345,443,4
1718897388,6,33,6,58366,443,1
1718889996,6,8,6,58355,7680,6
1718894520,6,23,6,50801,443,4
1718883306,6,34,6,58348,443,4
